                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.8456,                0.63795,                 1.1045,                0.93439,                0.67116,                 1.1158,                0.52843,                0.53971,                0.45695,                0.25955,                 1.6748,                 1.9523,                 1.9912,                 1.7157,                 2.2158,                 1.8903,             0.00053906,             0.00053906,             0.00053906
                     81,                 0.8448,                0.63649,                 1.1078,                0.93241,                0.67123,                  1.119,                0.52573,                0.54319,                0.45364,                0.25146,                  1.685,                 2.0025,                  1.998,                 1.7187,                 2.2745,                 1.8998,             0.00053172,             0.00053172,             0.00053172
                     82,                0.84628,                0.64682,                 1.1113,                0.93193,                0.67694,                 1.1221,                0.51783,                0.52661,                0.44394,                0.24884,                 1.6892,                 2.0559,                  1.998,                 1.7166,                 2.3338,                 1.8826,             0.00052439,             0.00052439,             0.00052439
                     83,                0.84434,                0.63209,                 1.1099,                0.93305,                 0.6585,                 1.1215,                0.54715,                0.52842,                0.45841,                0.25617,                 1.6877,                 2.0747,                 2.0119,                 1.7165,                 2.3468,                 1.9042,             0.00051706,             0.00051706,             0.00051706
                     84,                0.85023,                0.63909,                 1.1145,                0.93653,                0.66893,                 1.1246,                 0.5307,                0.55229,                0.45806,                0.25696,                 1.6855,                 2.0522,                 2.0348,                 1.7203,                  2.329,                 1.9272,             0.00050973,             0.00050973,             0.00050973
                     85,                0.83597,                 0.6216,                 1.1071,                0.92294,                 0.6471,                 1.1175,                0.52659,                0.55365,                  0.444,                0.24656,                 1.6893,                 2.0924,                 2.0396,                 1.7258,                  2.371,                 1.9239,             0.00050239,             0.00050239,             0.00050239
                     86,                0.84161,                0.62839,                 1.1093,                0.92565,                0.65932,                 1.1199,                0.53456,                0.54973,                0.44842,                0.24738,                 1.6836,                 2.0446,                 2.0185,                 1.7211,                 2.3254,                 1.9081,             0.00049506,             0.00049506,             0.00049506
                     87,                0.83366,                0.60766,                 1.0986,                0.91924,                0.63843,                 1.1085,                0.54451,                0.54059,                0.45373,                0.25154,                 1.6868,                  2.096,                 2.0213,                 1.7238,                 2.3764,                 1.9197,             0.00048773,             0.00048773,             0.00048773
                     88,                0.83636,                0.61338,                 1.0944,                0.92196,                0.64163,                 1.1061,                0.55253,                0.55836,                0.45951,                0.24947,                 1.6684,                 2.0379,                 2.0076,                 1.7172,                 2.3035,                 1.9136,              0.0004804,              0.0004804,              0.0004804
                     89,                0.82945,                0.60561,                 1.0939,                0.91599,                0.63252,                 1.1053,                0.54553,                0.55996,                0.45752,                0.24905,                 1.6955,                 2.1118,                 2.0395,                 1.7261,                 2.3972,                 1.9253,             0.00047306,             0.00047306,             0.00047306
                     90,                0.83209,                0.60858,                 1.1013,                0.91806,                0.63683,                 1.1132,                0.51932,                0.53429,                0.43274,                0.23874,                 1.7033,                 2.1264,                 2.0337,                   1.73,                 2.4297,                 1.9224,             0.00046573,             0.00046573,             0.00046573
                     91,                0.82579,                0.60724,                 1.0953,                0.91008,                0.63671,                 1.1057,                0.51021,                0.53474,                0.42969,                0.24245,                 1.7019,                 2.0758,                 2.0314,                 1.7329,                 2.3714,                  1.921,              0.0004584,              0.0004584,              0.0004584
                     92,                0.83024,                 0.6006,                 1.1014,                0.91427,                0.62837,                 1.1117,                0.52442,                0.52895,                0.44101,                0.24059,                 1.6986,                 2.1109,                 2.0362,                 1.7313,                 2.3903,                 1.9293,             0.00045107,             0.00045107,             0.00045107
                     93,                0.82742,                0.59877,                 1.0952,                0.90889,                0.62667,                 1.1054,                0.52854,                0.52065,                0.43824,                0.24233,                 1.6925,                 2.0963,                 2.0383,                 1.7378,                 2.3889,                 1.9439,             0.00044373,             0.00044373,             0.00044373
                     94,                 0.8279,                0.59614,                 1.0998,                0.91138,                0.62146,                 1.1097,                0.51671,                0.54228,                0.44744,                0.24743,                 1.7044,                 2.0986,                  2.039,                  1.742,                  2.398,                  1.932,              0.0004364,              0.0004364,              0.0004364
                     95,                0.82713,                0.59071,                 1.0975,                0.91284,                0.61868,                 1.1085,                0.53446,                0.55397,                0.44523,                 0.2455,                 1.7025,                 2.1029,                 2.0427,                 1.7428,                 2.3956,                 1.9326,             0.00042907,             0.00042907,             0.00042907
                     96,                0.82057,                0.58821,                 1.0885,                0.90358,                0.61296,                 1.0995,                0.52361,                0.55466,                0.44772,                0.24719,                 1.7137,                 2.1095,                 2.0459,                 1.7497,                 2.3942,                 1.9361,             0.00042174,             0.00042174,             0.00042174
                     97,                0.81406,                0.59106,                  1.085,                0.89576,                0.61438,                 1.0972,                0.52766,                0.54155,                 0.4531,                0.24703,                 1.7259,                 2.1159,                 2.0569,                  1.753,                 2.4058,                 1.9343,              0.0004144,              0.0004144,              0.0004144
                     98,                0.82378,                0.58531,                 1.0887,                0.90561,                0.60932,                 1.0993,                0.52291,                0.53304,                0.43782,                0.24072,                 1.7292,                 2.1507,                 2.0733,                 1.7551,                 2.4599,                 1.9483,             0.00040707,             0.00040707,             0.00040707
                     99,                 0.8122,                0.57643,                 1.0889,                 0.8937,                0.59855,                 1.0995,                0.52781,                0.55134,                0.44136,                0.24318,                 1.7149,                 2.1751,                 2.0575,                 1.7463,                 2.4818,                 1.9408,             0.00039974,             0.00039974,             0.00039974
